the,10359268
i,6125693
to,5363369
and,5331979
a,5125960
it,4869542
is,3389917
of,2734176
this,2706850
for,2624989
my,2105859
that,2094781
in,2028470
with,2027099
you,1938439
on,1782016
have,1599605
but,1489272
not,1420289
was,1243125
as,1164895
are,991587
so,955316
be,887017
if,797462
one,795906
or,788162
very,751154
do,748548
can,738720
at,731695
use,702169
they,679066
from,668050
great,652793
all,651033
just,646718
an,635828
up,616348
when,611534
would,611106
good,607873
like,598528
had,583915
your,577301
will,559759
has,558721
no,556771
out,533794
get,511590
more,506578
than,483947
well,482426
these,477087
me,474006
does,467324
about,459261
only,452066
there,434865
camera,427121
which,417944
other,412578
works,411199
case,387636
them,379714
some,379116
also,378447
quality,373271
what,368377
did,365172
sound,357195
time,355525
price,349639
really,348794
much,343821
work,342148
any,325453
even,314492
using,312539
product,310085
because,303897
cable,303036
bought,295109
better,289255
used,288620
little,288194
after,287458
am,284801
by,280291
could,279239
tv,277797
need,274905
now,274863
easy,270009
drive,262381
usb,258933
screen,255621
back,253550
then,252093
into,251635
still,250892
its,246756
been,244644
off,241499
nice,240746
battery,239819
too,233439
two,231420
got,228185
buy,227714
new,225980
want,221197
over,221100
first,216986
computer,214549
power,213918
unit,211732
device,207326
while,205812
were,202762
set,202427
way,199610
lens,198391
we,196642
card,196179
small,192727
go,192491
how,189289
without,188500
thing,186785
most,185384
make,181558
right,180981
recommend,180885
same,179658
video,178751
laptop,175072
few,172604
problem,172054
since,171922
see,171201
around,169161
keyboard,169013
hard,166781
bit,165146
amazon,164333
enough,163893
their,163313
best,161268
another,160414
light,159657
far,159219
think,157552
love,156637
lot,156357
find,155928
long,154819
fine,153581
should,153345
take,151895
fit,151441
ipad,150917
made,150338
many,149056
say,147915
ca,147492
both,147055
know,145755
pretty,145731
system,144488
put,143132
old,142383
sure,140623
worked,139240
down,138845
through,137981
before,137946
purchased,135197
looking,134687
though,134352
however,133928
something,133825
speakers,133813
phone,133596
never,133551
music,132619
mouse,131102
going,130860
able,130850
headphones,127936
where,126942
found,126894
seems,126772
again,125416
player,125265
software,123966
may,122448
size,122424
look,122133
box,122047
wireless,121879
remote,121303
perfect,121142
windows,120459
years,119844
keep,117279
problems,116541
picture,115370
being,115158
tried,113673
plug,113462
big,113378
high,113009
cover,112849
makes,112667
different,112049
tablet,111716
less,111697
having,111661
needed,111637
home,111439
router,111425
those,110142
fast,109523
everything,109240
getting,109190
adapter,108648
comes,107695
who,107498
happy,106076
audio,105810
came,104533
reviews,104527
quite,104490
looks,104358
easily,103250
excellent,102623
feel,102476
side,102428
charge,102220
every,102053
sony,100029
once,99980
working,99763
review,99175
room,98850
wanted,98203
things,98098
give,98002
cheap,97929
button,97303
last,97278
cables,97274
money,97162
people,96922
purchase,96879
ipod,96597
actually,95930
batteries,95754
pc,95544
always,95224
issues,95040
bad,94748
worth,94364
perfectly,94224
play,93979
day,93781
come,93429
read,92909
bag,92426
flash,92172
issue,92003
devices,91432
canon,91405
hdmi,91204
speaker,90427
several,90202
full,90051
speed,89336
here,89034
our,88947
took,88846
months,88434
hd,88280
fits,87817
low,87625
times,87196
top,87139
probably,86794
apple,86594
away,86337
end,86091
extra,85551
turn,85541
might,84813
try,84651
install,84424
pictures,84403
anything,84011
features,84010
almost,83934
hold,83872
port,83860
volume,83739
support,83730
